staff,total_workdays
統括A,5
副統括A,5
副統括B,5
火葬員A,5
火葬員B,5
火葬員C,5
火葬員D,5
火葬員E,5
火葬員F,5
火葬員G,5
火葬員H,5
火葬員I,5
事務員A,5
事務員B,5
事務員C,5
清掃員A,5
清掃員B,5
清掃員C,5
清掃員D,5
清掃員E,5
清掃員F,5
清掃員G,5
売店従業員A,5
売店従業員B,4
売店従業員C,5
売店従業員D,4
売店従業員E,4
売店従業員F,4
売店従業員G,5
霊柩運送員A,5
霊柩運送員B,5
霊柩運送員C,5
霊柩運送員D,5
霊柩運送員E,5
霊柩運送員F,5
霊柩運送員G,5
火葬業務統括A,5
葬副統括A,5
パート長A,10
パート長B,7
パート長C,10
パート長D,9
パート長E,8
パート長F,8
パート長G,7
パート短A,7
パート短B,7
パート短C,9
パート短D,7
パート短E,7
パート短F,7
パート短G,7
N1,8
N2,6
N3,3
N4,4
N5,9
N6,8
N7,2
N8,4
N9,7
N10,4
N11,8
N12,7
N13,4
N14,1
N15,3
N16,5
N17,3
N18,7
N19,3
N20,11
