staff,total_workdays
統括A,5
副統括A,5
副統括B,5
火葬員A,5
火葬員B,5
火葬員C,5
火葬員D,5
火葬員E,5
火葬員F,5
火葬員G,5
火葬員H,5
火葬員I,5
事務員A,5
事務員B,5
事務員C,5
清掃員A,5
清掃員B,5
清掃員C,5
清掃員D,5
清掃員E,5
清掃員F,5
清掃員G,5
売店従業員A,4
売店従業員B,4
売店従業員C,4
売店従業員D,4
売店従業員E,4
売店従業員F,5
売店従業員G,4
霊柩運送員A,5
霊柩運送員B,5
霊柩運送員C,5
霊柩運送員D,5
霊柩運送員E,5
霊柩運送員F,5
霊柩運送員G,5
火葬業務統括A,5
葬副統括A,5
パート長A,7
パート長B,9
パート長C,9
パート長D,9
パート長E,6
パート長F,9
パート長G,9
パート短A,6
パート短B,6
パート短C,6
パート短D,6
パート短E,6
パート短F,6
パート短G,6
N1,5
N2,6
N3,5
N4,6
N5,6
N6,6
N7,4
N8,3
N9,3
N10,3
N11,5
N12,7
N13,3
N14,5
N15,6
N16,3
N17,3
N18,2
N19,8
N20,4
