,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
統括A,責,,,,,,,,,,,,,,,,責,責,責,責,責,責,,,,,,,,
統括B,,責,,,,,,,,,,,,,,,,,,,,,,,,,,,,
統括C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
統括D,,,,,責,責,,,責,責,,,責,,,責,,,,,,,,責,,,責,責,,
統括E,,,責,責,,,責,責,,,責,責,,責,責,,,,,,,,責,,,,,,,
統括F,,,,,,,,,,,,,,,,,,,,,,,,,責,責,,,責,責
副統括A,事,,,,,,,,,,事,,,,,,,,,,,,,,,,,,,事
副統括B,,事,事,事,,,事,,事,事,,,,,事,,事,,,,,,,,事,,,事,,
副統括C,,,,,事,事,,事,,,,事,,事,,事,,事,事,事,,事,,,,事,事,,事,
副統括D,,,,,,,,,,,,,事,,,,,,,,,,,事,,,,,,
副統括E,,,,,,,,,,,,,,,,,,,,,事,,,,,,,,,
副統括F,,,,,,,,,,,,,,,,,,,,,,,事,,,,,,,
火葬員A,人,人,人,人,動,人,人,人,人,動,,人,動,人,動,人,人,人,人,動,人,,動,人,人,人,人,人,人,人
火葬員B,人,人,人,人,人,人,人,人,動,,動,人,人,人,人,人,人,人,人,,人,動,人,人,人,人,人,人,人,動
火葬員C,人,人,人,人,人,人,人,人,人,人,,人,人,人,人,人,動,人,動,人,人,,人,人,人,人,動,人,人,人
火葬員D,人,人,人,人,人,人,人,人,人,人,,動,人,人,人,人,人,動,人,人,人,,人,人,人,人,人,人,人,人
火葬員E,人,人,人,人,人,人,人,人,人,人,,人,人,人,人,人,人,人,人,人,人,,人,人,人,人,人,人,人,人
火葬員F,人,人,人,人,人,人,人,人,人,人,,人,人,人,人,人,人,人,人,人,人,,人,人,人,人,人,人,人,人
清掃員A,清,清,清,清,清,清,,清,清,清,清,清,清,清,清,清,清,,清,清,清,清,清,清,清,清,清,清,,清
清掃員B,清,清,清,清,清,清,清,,清,清,清,清,清,清,清,清,清,清,,,,,,,,,,,清,
清掃員C,,,,,,,清,清,,,,,,,,,,清,,,,,,,,,,,清,
清掃員D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清掃員E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
清掃員F,,,,,,,,,,,,,,,,,,,清,清,清,清,清,清,清,清,清,清,,清
売店従業員A,売,売,売,売,売,売,,売,売,売,売,売,売,売,売,売,売,,売,売,,売,売,売,売,売,売,売,売,売
売店従業員B,売,売,,,,,売,売,売,売,売,売,売,売,売,売,,売,,,売,売,売,売,売,売,売,売,売,売
売店従業員C,,,売,売,売,売,売,,,,,,,,,,売,売,売,売,売,,,,,,,,,
売店従業員D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売店従業員E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霊柩運送員A,運,運,運,運,運,運,,運,運,運,運,運,運,運,運,運,運,,運,運,,運,運,運,運,運,運,運,運,運
霊柩運送員B,運,運,,,,,運,運,運,運,運,運,運,運,運,運,,運,,,運,運,運,運,運,運,運,運,運,運
霊柩運送員C,,,運,運,運,運,運,,,,,,,,,,運,運,運,運,運,,,,,,,,,
霊柩運送員D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霊柩運送員E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パート長A,動,動,動,動,,動,,,,人,,人,人,,人,,,人,人,人,,人,,動,動,動,,動,動,人
パート長B,,,,,,,,,,,,,,,,,,,,,,人,,,,,,,,
パート長C,,,,,,,,,,,,,,,,,,,,,,人,,,,,,,,
パート長D,,,,,,,,,,,,,,,,,,,,,,人,,,,,,,,
パート長E,,,,,,,動,動,人,人,,,,,,,,,,,,人,,,,,,,,
パート長F,,,,,,,,,,,,,,,,,,,,,動,人,,,,,,,,
パート短A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
パート短B,,,,,,,,,,,人,,,,,,,,,,,,,,,,,,,
パート短C,,,,,,,,,,,人,,,,,,,,,,,,,,,,,,,
パート短D,,,,,,,,,,,人,,,,,,,,,,,,,,,,,,,
パート短E,,,,,,,,,,,人,,,動,,動,,,,人,,,,,,,,,,
パート短F,,,,,,,,,,,人,,,,,,,,,,,,,,,,,,,
N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,囲,囲,,,,,,,,,,,,,,,,,,,,,,,,囲,囲,囲,,
N10,,,,,,,,,,,,,,囲,,,,,,,,,,,,,,,,囲
N11,,,,,,,,,囲,,,,,,囲,,,,囲,囲,囲,囲,囲,囲,囲,,,,,
N12,,,,,,,,,,,,,,,,囲,,囲,,,,,,,,,,,囲,
N13,,,,,,,囲,囲,,,囲,囲,囲,,,,囲,,,,,,,,,,,,,
N14,,,囲,,囲,囲,,,,囲,,,,,,,,,,,,,,,,,,,,
N15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N20,,,,囲,,,,,,,,,,,,,,,,,,,,,,,,,,
